id_aluno,mun_formacao,uf_formacao,mun_trabalho,uf_trabalho,cbo_descricao,cnae_descricao,tipo_vinculo,natureza_juridica,remun_media_nominal,tempo_emprego_meses,carga_horaria,tipo_salario,mobilidade_mun,mobilidade_uf,setor_simplificado,ano_admissao,mes_ano_admissao
56671,João Pessoa,Pb,João Pessoa,Pb,Porteiro De Edifícios,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Tempo Determinado Ou Obra Certa",Sociedade Empresária Limitada,780.51,1.0,44.0,Mensal,Não,Não,Setor Privado,,NaT
56671,João Pessoa,Pb,João Pessoa,Pb,Administrador,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Empresa Pública,2844.44,8.5,40.0,Mensal,Não,Não,Setor Público,,NaT
56671,João Pessoa,Pb,João Pessoa,Pb,Auxiliar De Escritório,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,383.52,19.9,44.0,Outros/Não Informado,Não,Não,Setor Privado,,NaT
56688,João Pessoa,Pb,João Pessoa,Pb,Almoxarife,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,1632.87,14.8,44.0,Mensal,Não,Não,Setor Privado,,NaT
56688,Cabedelo,Pb,João Pessoa,Pb,Supervisor De Recepcionistas,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Tempo Determinado Ou Obra Certa",Sociedade Empresária Limitada,2499.47,1.5,44.0,Mensal,Sim,Não,Setor Privado,,NaT
56688,João Pessoa,Pb,João Pessoa,Pb,Almoxarife,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Empresa Individual De Responsabilidade Limitada (De Natureza Empresária),859.99,56.1,44.0,Mensal,Não,Não,Setor Privado,,NaT
56688,São Paulo,Sp,João Pessoa,Pb,Analista De Negócios,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Anônima Fechada,2183.99,7.3,44.0,Mensal,Sim,Sim,Setor Privado,,NaT
56713,João Pessoa,Pb,Nantes,Sp,Auxiliar De Escritório,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,1169.59,27.9,44.0,Mensal,Sim,Sim,Setor Privado,,NaT
56713,João Pessoa,Pb,João Pessoa,Pb,Auxiliar De Escritório,,"Aprendiz Contratado Nos Termos Do Art. 428 Da Clt, Regulamentado Pelo Decreto Nº 5.598, De 1º De Dezembro De 2005",Associação Privada,1062.35,15.9,30.0,Mensal,Não,Não,Terceiro Setor,,NaT
56715,João Pessoa,Pb,João Pessoa,Pb,Supervisor De Compras,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Empresa Individual De Responsabilidade Limitada (De Natureza Empresária),1600.55,3.9,44.0,Mensal,Não,Não,Setor Privado,,NaT
56715,João Pessoa,Pb,Nantes,Sp,Supervisor Administrativo,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Associação Privada,2481.27,15.8,44.0,Mensal,Sim,Sim,Terceiro Setor,,NaT
56715,João Pessoa,Pb,João Pessoa,Pb,Vendedor De Comércio Varejista,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,1125.27,2.9,44.0,Mensal,Não,Não,Setor Privado,,NaT
56716,João Pessoa,Pb,Nantes,Sp,Auxiliar De Contabilidade,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Empresário (Individual),1182.23,1.9,44.0,Mensal,Sim,Sim,Setor Privado,,NaT
56716,João Pessoa,Pb,Nantes,Sp,Dirigente Do Serviço Público Estadual E Distrital,,"Servidor Público Não-Efetivo (Demissível Ad Nutum Ou Admitido Por Legislação Especial, Não Regido Pela Clt)",Órgão Público Do Poder Executivo Estadual Ou Do Distrito Federal,1447.6,9.8,30.0,Mensal,Sim,Sim,Setor Público,,NaT
56716,João Pessoa,Pb,João Pessoa,Pb,Operador De Telemarketing Ativo E Receptivo,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Anônima Fechada,488.89,1.6,20.0,Outros/Não Informado,Não,Não,Setor Privado,,NaT
56725,João Pessoa,Pb,João Pessoa,Pb,Assistente Administrativo,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Serviço Social Autônomo,3803.74,368.9,40.0,Mensal,Não,Não,Terceiro Setor,,NaT
56777,Cabedelo,Pb,João Pessoa,Pb,Auxiliar De Escritório,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,1538.09,11.4,44.0,Mensal,Sim,Não,Setor Privado,,NaT
56784,João Pessoa,Pb,Nantes,Sp,Assistente Administrativo,,"Servidor Regido Pelo Regime Jurídico Único (Federal, Estadual E Municipal) E Militar, Vinculado A Regime Próprio De Previdência",Autarquia Federal,8835.8,116.6,40.0,Mensal,Sim,Sim,Setor Público,,NaT
56790,João Pessoa,Pb,João Pessoa,Pb,Assistente Administrativo,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Simples Pura,2365.96,26.2,40.0,Mensal,Não,Não,Setor Privado,,NaT
56820,Santa Rita,Pb,Sapé,Pb,Vendedor De Comércio Varejista,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Empresário (Individual),1586.0,5.9,44.0,Mensal,Sim,Não,Setor Privado,,NaT
56820,Mamanguape,Pb,Sapé,Pb,Assistente Administrativo,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Associação Privada,1275.26,2.9,40.0,Mensal,Sim,Não,Terceiro Setor,,NaT
56844,João Pessoa,Pb,Nantes,Sp,Assistente Comercial De Seguros,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,1542.63,8.1,44.0,Mensal,Sim,Sim,Setor Privado,,NaT
56844,João Pessoa,Pb,João Pessoa,Pb,Auxiliar De Escritório,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,1322.96,4.3,44.0,Mensal,Não,Não,Setor Privado,,NaT
56865,João Pessoa,Pb,João Pessoa,Pb,Assistente Administrativo,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Anônima Aberta,917.59,0.4,44.0,Mensal,Não,Não,Setor Privado,,NaT
56867,João Pessoa,Pb,João Pessoa,Pb,Gerente Administrativo,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Anônima Aberta,5228.79,36.0,40.0,Mensal,Não,Não,Setor Privado,,NaT
56881,João Pessoa,Pb,João Pessoa,Pb,Auxiliar De Escritório,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,1237.0,16.3,44.0,Mensal,Não,Não,Setor Privado,,NaT
56881,Recife,Pe,Cabedelo,Pb,Agente De Defesa Ambiental,,"Trabalhador Temporário, Regido Pela Lei Nr. 6.019, De 3 De Janeiro De 1974",Sociedade Empresária Limitada,3178.33,5.9,44.0,Mensal,Sim,Sim,Setor Privado,,NaT
56881,Cabedelo,Pb,Cabedelo,Pb,Assistente Administrativo,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Tempo Determinado Ou Obra Certa",Sociedade Empresária Limitada,1128.85,2.5,44.0,Mensal,Não,Não,Setor Privado,,NaT
56881,João Pessoa,Pb,João Pessoa,Pb,Vendedor De Comércio Varejista,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,1221.58,5.6,44.0,Mensal,Não,Não,Setor Privado,,NaT
56884,João Pessoa,Pb,João Pessoa,Pb,Supervisor De Vendas Comercial,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,2608.21,13.9,44.0,Mensal,Não,Não,Setor Privado,,NaT
56884,Mamanguape,Pb,Mamanguape,Pb,Gerente De Compras,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Tempo Determinado Ou Obra Certa",Empresa Individual De Responsabilidade Limitada (De Natureza Empresária),4000.0,2.5,44.0,Mensal,Não,Não,Setor Privado,,NaT
56884,Guarabira,Pb,Guarabira,Pb,Supervisor Administrativo,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Associação Privada,2615.63,13.1,44.0,Mensal,Não,Não,Terceiro Setor,,NaT
56943,Brasília,Df,Nantes,Sp,Praça Do Exército,,"Servidor Regido Pelo Regime Jurídico Único (Federal, Estadual E Municipal) E Militar, Vinculado A Regime Próprio De Previdência",Órgão Público Do Poder Executivo Federal,7226.55,178.8,40.0,Mensal,Sim,Sim,Setor Público,,NaT
56979,João Pessoa,Pb,João Pessoa,Pb,Assistente Administrativo,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,1516.92,6.0,40.0,Mensal,Não,Não,Setor Privado,,NaT
56979,João Pessoa,Pb,João Pessoa,Pb,Ajudante De Motorista,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,1241.84,0.8,44.0,Mensal,Não,Não,Setor Privado,,NaT
56979,João Pessoa,Pb,João Pessoa,Pb,Ajudante De Motorista,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,1863.89,132.6,44.0,Outros/Não Informado,Não,Não,Setor Privado,,NaT
56982,São Paulo,Sp,João Pessoa,Pb,Assistente De Vendas,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Anônima Fechada,4056.34,13.8,99.0,Mensal,Sim,Sim,Setor Privado,,NaT
56982,Curitiba,Pr,João Pessoa,Pb,Vendedor De Comércio Varejista,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,3397.29,12.0,40.0,Mensal,Sim,Sim,Setor Privado,,NaT
57023,Guarabira,Pb,Guarabira,Pb,Secretária(O) Executiva(O),,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,2225.88,20.7,44.0,Mensal,Não,Não,Setor Privado,,NaT
57023,Guarabira,Pb,Guarabira,Pb,Tecnólogo Em Logística De Transporte,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,1569.0,37.8,44.0,Mensal,Não,Não,Setor Privado,,NaT
57053,João Pessoa,Pb,Nantes,Sp,Gerente Financeiro,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,3068.16,42.4,44.0,Mensal,Sim,Sim,Setor Privado,,NaT
57053,João Pessoa,Pb,João Pessoa,Pb,Gerente Financeiro,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,8680.78,14.0,40.0,Mensal,Não,Não,Setor Privado,,NaT
57053,João Pessoa,Pb,João Pessoa,Pb,Analista De Recursos Humanos,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Empresa Individual De Responsabilidade Limitada (De Natureza Empresária),1368.75,14.4,44.0,Mensal,Não,Não,Setor Privado,,NaT
57060,João Pessoa,Pb,João Pessoa,Pb,Tecnólogo Em Logística De Transporte,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,3058.79,45.3,44.0,Mensal,Não,Não,Setor Privado,,NaT
57062,João Pessoa,Pb,João Pessoa,Pb,Assistente Administrativo,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,1450.0,75.7,44.0,Mensal,Não,Não,Setor Privado,,NaT
57062,João Pessoa,Pb,João Pessoa,Pb,Assistente Administrativo,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,1523.98,87.3,44.0,Mensal,Não,Não,Setor Privado,,NaT
57062,João Pessoa,Pb,João Pessoa,Pb,"Recepcionista, Em Geral",,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Cooperativa,1473.32,2.5,44.0,Mensal,Não,Não,Outros,,NaT
57062,João Pessoa,Pb,João Pessoa,Pb,"Recepcionista, Em Geral",,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Cooperativa,1534.1,6.9,44.0,Mensal,Não,Não,Outros,,NaT
57063,Cruz Do Espírito Santo,Pb,Nantes,Sp,"Recepcionista, Em Geral",,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Condomínio Edilício,1179.33,6.6,44.0,Mensal,Sim,Sim,Outros,,NaT
57073,João Pessoa,Pb,João Pessoa,Pb,Assistente Administrativo,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Empresário (Individual),992.33,15.6,44.0,Mensal,Não,Não,Setor Privado,,NaT
57073,João Pessoa,Pb,Santa Rita,Pb,Assistente Administrativo,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,1891.25,24.0,44.0,Mensal,Sim,Não,Setor Privado,,NaT
57091,Bayeux,Pb,Nantes,Sp,Assistente Administrativo,,"Servidor Público Não-Efetivo (Demissível Ad Nutum Ou Admitido Por Legislação Especial, Não Regido Pela Clt)",Órgão Público Do Poder Executivo Municipal,1311.58,8.5,40.0,Mensal,Sim,Sim,Setor Público,,NaT
57091,Santa Rita,Pb,Santa Rita,Pb,Assistente Administrativo,,"Servidor Público Não-Efetivo (Demissível Ad Nutum Ou Admitido Por Legislação Especial, Não Regido Pela Clt)",Órgão Público Do Poder Executivo Municipal,1200.0,4.9,40.0,Mensal,Não,Não,Setor Público,,NaT
57101,João Pessoa,Pb,Esperança,Pb,Assistente De Vendas,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,1547.03,35.1,44.0,Mensal,Sim,Não,Setor Privado,,NaT
57117,João Pessoa,Pb,Nantes,Sp,Auxiliar De Escritório,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,1367.91,42.9,44.0,Mensal,Sim,Sim,Setor Privado,,NaT
57117,João Pessoa,Pb,João Pessoa,Pb,Secretária(O) Executiva(O),,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,3602.15,26.7,44.0,Mensal,Não,Não,Setor Privado,,NaT
57158,João Pessoa,Pb,João Pessoa,Pb,Auxiliar De Escritório,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,1671.13,33.9,44.0,Mensal,Não,Não,Setor Privado,,NaT
57183,João Pessoa,Pb,Nantes,Sp,Dirigente Do Serviço Público Estadual E Distrital,,"Servidor Regido Pelo Regime Jurídico Único (Federal, Estadual E Municipal) E Militar, Vinculado A Regime Próprio De Previdência",Órgão Público Do Poder Executivo Estadual Ou Do Distrito Federal,1100.0,107.2,30.0,Mensal,Sim,Sim,Setor Público,,NaT
57183,João Pessoa,Pb,João Pessoa,Pb,Assistente Administrativo,,"Servidor Regido Pelo Regime Jurídico Único (Federal, Estadual E Municipal) E Militar, Vinculado A Regime Próprio De Previdência",Autarquia Estadual Ou Do Distrito Federal,1900.0,29.1,40.0,Outros/Não Informado,Não,Não,Setor Público,,NaT
57196,João Pessoa,Pb,João Pessoa,Pb,Secretária(O) Executiva(O),,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,1196.12,11.6,44.0,Mensal,Não,Não,Setor Privado,,NaT
57196,João Pessoa,Pb,João Pessoa,Pb,Gerente Administrativo,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Tempo Determinado Ou Obra Certa",Empresa Individual De Responsabilidade Limitada (De Natureza Empresária),1501.13,2.9,44.0,Outros/Não Informado,Não,Não,Setor Privado,,NaT
57198,João Pessoa,Pb,Nantes,Sp,Supervisor Administrativo,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Empresário (Individual),2961.61,9.9,44.0,Mensal,Sim,Sim,Setor Privado,,NaT
57206,Rio De Janeiro,Rj,Rio De Janeiro,Rj,Assistente Administrativo,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Anônima Fechada,1370.01,17.6,40.0,Mensal,Não,Não,Setor Privado,,NaT
57206,João Pessoa,Pb,Nantes,Sp,Dirigente Do Serviço Público Estadual E Distrital,,"Servidor Público Não-Efetivo (Demissível Ad Nutum Ou Admitido Por Legislação Especial, Não Regido Pela Clt)",Órgão Público Do Poder Executivo Estadual Ou Do Distrito Federal,2125.83,15.9,30.0,Mensal,Sim,Sim,Setor Público,,NaT
57206,João Pessoa,Pb,João Pessoa,Pb,Analista De Sinistros,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Anônima Fechada,1620.28,24.1,40.0,Mensal,Não,Não,Setor Privado,,NaT
57223,João Pessoa,Pb,Nantes,Sp,Assistente Administrativo,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Empresário (Individual),534.72,5.9,22.0,Mensal,Sim,Sim,Setor Privado,,NaT
57264,Salvador,Ba,Salvador,Ba,Auxiliar De Estatística,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Anônima Fechada,920.45,21.4,44.0,Mensal,Não,Não,Setor Privado,,NaT
57286,Belo Horizonte,Mg,Condado,Pe,Analista De Exportação E Importação,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,4231.9,9.6,40.0,Mensal,Sim,Sim,Setor Privado,,NaT
57327,João Pessoa,Pb,João Pessoa,Pb,Assistente Administrativo,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,680.12,7.9,25.0,Mensal,Não,Não,Setor Privado,,NaT
57327,João Pessoa,Pb,João Pessoa,Pb,Assistente Administrativo,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Fundação Pública De Direito Privado Estadual Ou Do Distrito Federal,1242.59,8.4,44.0,Mensal,Não,Não,Setor Público,,NaT
57375,Montividiu,Go,João Pessoa,Pb,Orientador Educacional,,"Servidor Regido Pelo Regime Jurídico Único (Federal, Estadual E Municipal) E Militar, Vinculado A Regime Próprio De Previdência",Fundo Público Da Administração Direta Municipal,1756.0,4.0,30.0,Outros/Não Informado,Sim,Sim,Outros,,NaT
57375,João Pessoa,Pb,Nantes,Sp,Dirigente Do Serviço Público Estadual E Distrital,,"Servidor Regido Pelo Regime Jurídico Único (Federal, Estadual E Municipal) E Militar, Vinculado A Regime Próprio De Previdência",Órgão Público Do Poder Executivo Estadual Ou Do Distrito Federal,1100.0,107.2,30.0,Mensal,Sim,Sim,Setor Público,,NaT
57382,João Pessoa,Pb,João Pessoa,Pb,Tecnólogo Em Logística De Transporte,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,2573.67,32.6,44.0,Mensal,Não,Não,Setor Privado,,NaT
57391,Santa Rita,Pb,Santa Rita,Pb,Supervisor De Vendas Comercial,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,2958.53,18.0,44.0,Mensal,Não,Não,Setor Privado,,NaT
57397,João Pessoa,Pb,João Pessoa,Pb,Gerente De Operações De Transportes,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,5274.88,209.9,44.0,Mensal,Não,Não,Setor Privado,,NaT
57408,João Pessoa,Pb,João Pessoa,Pb,Assistente Administrativo,,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Empresa Individual De Responsabilidade Limitada (De Natureza Empresária),1203.92,2.8,44.0,Mensal,Não,Não,Setor Privado,,NaT
57425,Macaé,Rj,Macaé,Rj,Eletrotécnico (Produção De Energia),,"Trabalhador Urbano Vinculado A Empregador Pessoa Jurídica Por Contrato De Trabalho Regido Pela Clt, Por Prazo Indeterminado",Sociedade Empresária Limitada,1627.84,16.9,44.0,Mensal,Não,Não,Setor Privado,,NaT
